name,writer,rate,plot,lang,char,setting,litery award,link
1984,George Orwell,4.19,"Among the seminal texts of the 20th century, ",English,"Syme,Julia,Mr. Charrington","London, England","Prometheus Hall of Fame Award (1984),Locus Award Nominee for All-Time Best Science Fiction Novel (1987)",https://www.goodreads.com/book/show/40961427-1984
The Great Gatsby,F. Scott Fitzgerald,3.92,Alternate Cover Edition ISBN: 0743273567 (ISBN13: ,,"Myrtle Wilson,Meyer Wolfsheim,George Wilson",,Grammy Award Nominee for Best Spoken Word Album (2003),https://www.goodreads.com/book/show/4671.The_Great_Gatsby
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.",English,"Gollum,Dwalin,Balin,Kili,Fili,Dori,Ori,Nori,Oin,Gloin,Bifur,Bofur,Bombur,Beorn,Bard the Bowman",,"Keith Barker Millennium Book Award,Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997),Mythopoeic Scholarship Award for Inklings Studies (1990)",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
Animal Farm,George Orwell,3.95,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown",English,"Muriel,Jones,Squealer,Moses the Raven,Benjamin",England,"Prometheus Hall of Fame Award (2011),Retro Hugo Award for Best Novella (1996)",https://www.goodreads.com/book/show/170448.Animal_Farm
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,"Narnia...the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.",,"Susan Pevensie,Jadis,Mr. & Mrs. Beaver","London, England","Lewis Carroll Shelf Award (1962),The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century',Retro Hugo Award Nominee for Best Novel (2001)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
Fahrenheit 451,Ray Bradbury,3.99,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden.",English,Professor Faber,,"Prometheus Hall of Fame Award (1984),Geffen Award for Best Translated SF Book (2002),California Book Award for Fiction (Silver) (1953),Retro Hugo Award for Best Novel (2004)",https://www.goodreads.com/book/show/13079982-fahrenheit-451
The Catcher in the Rye,J.D. Salinger,3.81,The hero-narrator of ,English,"D.B Caulfield,Sally Hayes,Holden Caufield,Robert Ackley,Stradlater,Phoebe Caulfield,Allie Caulfield,D.B Caulfield,Sally Hayes","New York City, New York","Teen Read Award Nominee for Best All-Time-Fave (2010),National Book Award Finalist for Fiction (1952)",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Diary of a Young Girl,Anne Frank,4.15,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. ",,"Peter van Daan,Edith Frank,Miep Gies,Albert Dussel,Anne Frank",Amsterdam,Luisterboek Award Nominee (2008),https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.",,"Severus Snape,Quirinus Quirrell,Rubeus Hagrid,Lord Voldemort,Minerva McGonagall,Neville Longbottom,Fred Weasley,George Weasley,Percy Weasley,Filius Flitwick,Pomona Sprout,Molly Weasley,Poppy Pomfrey,Oliver Wood,Parvati Patil,Dean Thomas,James Potter,Lily Potter,Seamus Finnigan,Garrick Ollivander,Rolanda Hooch,Katie Bell,Albus Dumbledore,Dedalus Diggle,Harry Potter,Hermione Granger,Lavender Brown",,"Mythopoeic Fantasy Award for Children's Literature (2008),British Book Award for Children's Book of the Year (1998),Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002),American Booksellers Book Of The Year  Award for Children (1999),Audie Award (2000),West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000),South Carolina Book Award for Junior Book Award (2001),Grand Canyon Reader Award for Teen Book (2000),Charlotte Award (2000),Nene Award (2000),Massachusetts Children's Book Award (2000),Colorado Blue Spruce Young Adult Book Award (2001),Blue Hen Book Award for Chapter Book (2001),Nevada Young Readers' Award for Young Reader Category (2000),Golden Archer Award for Middle/Junior High (2000),Indian Paintbrush Book Award (2000),Hotze de Roosprijs (2002),Nestlé Smarties Book Prize for 9–11 years (1997),Eliot Rosewater Indiana High School Book Award (2001),Kinderboekwinkelprijs (1999),Parenting Book of the Year Award (1998),North East Teenage Book Award (1999),Specsavers National Book Award for Children's Book of the Year (1998),Washington State Sasquatch Award (2000),Literaturpreis der Jury der jungen Leser for Kinderbuch (1999),Carnegie Medal Nominee (1997),Rebecca Caudill Young Readers' Book Award (2001),Premi Protagonista Jove for Categoria 12-13 anys (2000)",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Little Prince,Antoine de Saint-Exupéry,4.31,A PBS Great American Read Top 100 Pick,,,,Retro Hugo Award for Best Novella (2019),https://www.goodreads.com/book/show/157993.The_Little_Prince
To Kill a Mockingbird,Harper Lee,4.28,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.",,"Aunt Alexandra,Bob Ewell,Calpurnia (housekeeper),Tom Robinson,Miss Maudie Atkinson,Judge John Taylor,Dill Harris,Heck Tate,Stephanie Crawford","Maycomb, Alabama","Pulitzer Prize for Fiction (1961),Audie Award for Classic (2007),National Book Award Finalist for Fiction (1961),Alabama Author Award for Fiction (1961)",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
One Hundred Years of Solitude,Gabriel García Márquez,4.08,,,"José Arcadio Buendía,Amaranta Buendía,Amaranta Úrsula Buendía,Aureliano Babilonia,José Arcadio Segundo,Aureliano Segundo,Aureliano José,Pilar Ternera,Rebeca Buendía,Santa Sofía de la Piedad,Arcadio Buendía,José Arcadio Buendía, hijo,Meme Buendía,Petra Cotes,Pietro Crespi,Melquiades",,"Premio Internacional de Novela Rómulo Gallegos (1972),Prix du Meilleur Livre Étranger for Roman (1969)",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
Brave New World,Aldous Huxley,3.99,,English,"The Warden,Pope,Linda (Brave New World),Fanny Crowne,The Director,The Arch-Community Songster",New Mexico,,https://www.goodreads.com/book/show/5129.Brave_New_World
Gone with the Wind,Margaret Mitchell,4.30,,English,"Ella Lorena Kennedy,Eugenie Victoria ""Bonnie Blue"" Butler,Beau Wilkes,India Wilkes,Honey Wilkes,John  Wilkes,Gerald O'Hara,Ellen O'Hara,Suellen O'Hara,Carreen O'Hara,Eulalie,Pauline,Mammy Abigail,Prissy,Pork,Dilcey,Charles Hamilton,Frank Kennedy,Belle Watling,Jonas Wilkerson,Emmie Slattery,Will Benteen,Aunt Pittypat Hamilton,Uncle Peter","Atlanta, Georgia","Pulitzer Prize for Novel (1937),National Book Award for Novel (1936)",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Grapes of Wrath,John Steinbeck,3.97,"The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.",English,"Jim Casy,Al Joad,Ruthie Joad,Winfield Joad,Noah Joad,Grampa Joad,Granma Joad,Connie Rivers",Oklahoma,"Pulitzer Prize for Novel (1940),National Book Award for Fiction (1939),California Book Award for General Literature (Silver) (1939),Audie Award for Classic (1999)",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,,English,"Edgar Derby,Robert Pilgrim,Valencia Merble,Barbara Pilgrim,Howard W. Campbell Jr.,Montana Wildhack,Bertam Copeland Rumfoord,...less,Ardennes",Dresden,"Hugo Award Nominee for Best SF Novel (1970),Nebula Award Nominee for Best Novel (1969),National Book Award Finalist for Fiction (1970),Chicago Publishers' Award (1970)",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Lolita,Vladimir Nabokov,3.89,,English,,United States of America,National Book Award Finalist for Fiction (1959),https://www.goodreads.com/book/show/7604.Lolita
East of Eden,John Steinbeck,4.37,"In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.",English,"Cyrus Trask,Mrs. Trask,Alice Trask,Adam Trask,Charles Trask,Aron Trask,Caleb Trask,Samuel Hamilton,Liza Hamilton,George Hamilton,Will Hamilton,Joe Hamilton,Lizzie Hamilton,Una Hamilton,Dessie Hamilton,Olive Hamilton,Mollie Hamilton,Cathy Ames,Abra Bacon,Joe Valery",California,"Audie Award for Classic (2004),National Book Award Finalist for Fiction (1953)",https://www.goodreads.com/book/show/4406.East_of_Eden
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,,,"Dale Harding,Doctor Spivey,Bruce Fredrickson,James ""Jim"" Sefelt,Scanlon,Martini",,,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.36,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ",English,,,,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy
The Fellowship of the Ring,J.R.R. Tolkien,4.36,Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover),English,"Gimli,Boromir,Bilbo Baggins,Tom Bombadil,Rúmil,Saruman,Elrond Half-elven,Arwen Undómiel,Galadriel,Gollum,Goldberry,Legolas,Sam Gamgee",,Publieksprijs voor het Nederlandse Boek Nominee (2002),https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
The Handmaid's Tale,Margaret Atwood,4.11,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now . . . ",,"Moira,Luke Castellan","Cambridge, Massachusetts","Booker Prize Nominee (1986),Nebula Award Nominee for Best Novel (1986),Locus Award Nominee for Best SF Novel (1987),Arthur C. Clarke Award (1987),Audie Award for Fiction (2013),Los Angeles Times Book Prize for Fiction (1986),Prometheus Award Nominee for Best Novel (1987),James Tiptree Jr. Award Nominee for Retrospective (1995),Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985),SF Chronicle Award Nominee for Novel (1987),Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987),CBC Canada Reads Nominee (2002),Metų verstinė knyga Nominee (2012)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
